"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","elb_var","shldr_ir","elb_var_max","shldr_ir_max","elb_var_min","shldr_ir_min"
"141","p04",26,188.8,74,"L",83.6,46.7,22,76.1,42.659331,48.399862,52.335327,60.978877,14.073848,16.115672
"142","p04",26,188.8,74,"L",83.6,46.7,23,79.6,45.716401,52.850024,52.335327,60.978877,14.073848,16.115672
"143","p04",26,188.8,74,"L",83.6,46.7,24,79.9,48.160444,54.311963,52.335327,60.978877,14.073848,16.115672
"144","p04",26,188.8,74,"L",83.6,46.7,25,82.2,48.243175,56.43625,52.335327,60.978877,14.073848,16.115672
"145","p04",26,188.8,74,"L",83.6,46.7,26,83.3,51.974141,59.515024,52.335327,60.978877,14.073848,16.115672
"146","p04",26,188.8,74,"L",83.6,46.7,27,83,51.574814,58.716007,52.335327,60.978877,14.073848,16.115672
"147","p04",26,188.8,74,"L",83.6,46.7,28,81.3,51.083687,57.138787,52.335327,60.978877,14.073848,16.115672
"148","p04",26,188.8,74,"L",83.6,46.7,29,83.6,52.335327,60.978877,52.335327,60.978877,14.073848,16.115672
"149","p05",24,197,72,"L",73.6,32.6,1,32.6,13.369046,18.046417,62.780408,62.785688,12.24502,17.16439
"150","p05",24,197,72,"L",73.6,32.6,2,33.1,12.24502,17.16439,62.780408,62.785688,12.24502,17.16439
"151","p05",24,197,72,"L",73.6,32.6,3,33.3,13.442318,19.062196,62.780408,62.785688,12.24502,17.16439
"152","p05",24,197,72,"L",73.6,32.6,4,33.7,13.390762,18.850286,62.780408,62.785688,12.24502,17.16439
"153","p05",24,197,72,"L",73.6,32.6,5,34.9,14.446999,19.471154,62.780408,62.785688,12.24502,17.16439
"154","p05",24,197,72,"L",73.6,32.6,6,39.3,17.889404,23.574149,62.780408,62.785688,12.24502,17.16439
"155","p05",24,197,72,"L",73.6,32.6,7,37.9,17.606181,23.21056,62.780408,62.785688,12.24502,17.16439
"156","p05",24,197,72,"L",73.6,32.6,8,42.5,20.837122,27.500705,62.780408,62.785688,12.24502,17.16439
"157","p05",24,197,72,"L",73.6,32.6,9,44.3,22.044213,28.426021,62.780408,62.785688,12.24502,17.16439
"158","p05",24,197,72,"L",73.6,32.6,10,42.4,20.5244,26.432182,62.780408,62.785688,12.24502,17.16439
"159","p05",24,197,72,"L",73.6,32.6,11,47.9,24.558264,30.458094,62.780408,62.785688,12.24502,17.16439
"160","p05",24,197,72,"L",73.6,32.6,12,48.5,25.004849,32.588168,62.780408,62.785688,12.24502,17.16439
"161","p05",24,197,72,"L",73.6,32.6,13,55.4,32.777478,42.302357,62.780408,62.785688,12.24502,17.16439
"162","p05",24,197,72,"L",73.6,32.6,14,55.1,31.814979,39.19305,62.780408,62.785688,12.24502,17.16439
"163","p05",24,197,72,"L",73.6,32.6,15,55.5,32.573675,41.951817,62.780408,62.785688,12.24502,17.16439
"164","p05",24,197,72,"L",73.6,32.6,16,56.5,33.963462,43.059957,62.780408,62.785688,12.24502,17.16439
"165","p05",24,197,72,"L",73.6,32.6,17,58.1,35.783976,44.284972,62.780408,62.785688,12.24502,17.16439
"166","p05",24,197,72,"L",73.6,32.6,18,58.1,34.76399,42.930742,62.780408,62.785688,12.24502,17.16439
"167","p05",24,197,72,"L",73.6,32.6,19,57.4,36.204778,45.716866,62.780408,62.785688,12.24502,17.16439
"168","p05",24,197,72,"L",73.6,32.6,20,61.1,37.206637,46.440236,62.780408,62.785688,12.24502,17.16439
"169","p05",24,197,72,"L",73.6,32.6,21,61.4,40.129705,47.666528,62.780408,62.785688,12.24502,17.16439
"170","p05",24,197,72,"L",73.6,32.6,22,63.2,42.932159,50.980961,62.780408,62.785688,12.24502,17.16439
"171","p05",24,197,72,"L",73.6,32.6,23,NA,45.824477,52.960186,62.780408,62.785688,12.24502,17.16439
"172","p05",24,197,72,"L",73.6,32.6,24,64.3,47.073334,52.583646,62.780408,62.785688,12.24502,17.16439
"173","p05",24,197,72,"L",73.6,32.6,25,67,48.839953,53.81251,62.780408,62.785688,12.24502,17.16439
"174","p05",24,197,72,"L",73.6,32.6,26,67.8,51.304939,57.116022,62.780408,62.785688,12.24502,17.16439
"175","p05",24,197,72,"L",73.6,32.6,27,66.1,49.216256,54.504141,62.780408,62.785688,12.24502,17.16439
"176","p05",24,197,72,"L",73.6,32.6,28,65.4,47.780036,53.152414,62.780408,62.785688,12.24502,17.16439
"177","p05",24,197,72,"L",73.6,32.6,29,66.4,48.624225,54.513698,62.780408,62.785688,12.24502,17.16439
"178","p05",24,197,72,"L",73.6,32.6,30,68.2,52.684854,57.819439,62.780408,62.785688,12.24502,17.16439
"179","p05",24,197,72,"L",73.6,32.6,31,68.5,52.12501,57.280795,62.780408,62.785688,12.24502,17.16439
"180","p05",24,197,72,"L",73.6,32.6,32,68.3,53.915778,59.421291,62.780408,62.785688,12.24502,17.16439
"181","p05",24,197,72,"L",73.6,32.6,33,69.8,54.929029,58.344398,62.780408,62.785688,12.24502,17.16439
"182","p05",24,197,72,"L",73.6,32.6,34,68,52.541196,57.734363,62.780408,62.785688,12.24502,17.16439
