kww	// User ID
16-2-2021	// Evaluation date
caitlin-pilot_24_48.4	10-2-2021	16:14:26:725	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.701184	// height
54.982867	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
146	0.904140	0.501819	0.261929	-4.225157	0.432675	4.225157	-2.162111	-0.777333	0.759396	0.777333	1.184991	0.434167	
147	1.063482	0.903309	0.250319	-3.599619	0.807047	3.599619	-1.228475	-0.689060	0.421908	0.689060	1.061877	0.384812	
148	1.365444	1.337295	0.227260	-2.966890	1.092438	2.966890	0.192514	-0.728209	-0.313123	0.728209	1.126699	0.373192	
149	1.703915	1.757083	0.204011	-2.804262	1.453911	2.804262	2.245856	-1.066791	-1.558824	1.066791	1.260278	0.385078	
150	1.784948	1.876781	0.187457	-2.947802	1.740081	2.947802	4.520851	-1.590472	-2.738100	1.590472	1.223640	0.403878	
151	1.618747	1.622362	0.174788	-3.159065	1.640209	3.159065	5.545255	-1.838730	-3.007023	1.838730	1.048832	0.421788	
152	1.482003	1.271869	0.161176	-3.371696	1.182245	3.371696	4.733512	-1.632908	-2.605256	1.632908	0.945549	0.428827	
153	1.458012	1.028677	0.145947	-3.230582	0.769411	3.230582	3.226565	-1.455962	-2.262344	1.455962	0.931368	0.413969	
154	1.345956	0.778524	0.132176	-2.208656	0.538398	2.208656	1.831263	-1.412371	-1.821825	1.412371	0.846219	0.384022	
155	1.084084	0.448501	0.119905	-0.425241	0.192637	0.425241	0.249209	-0.918466	-1.022155	0.918466	0.667044	0.359720	
156	0.877817	0.219312	0.106517	0.159051	-0.247883	-0.159051	-1.236837	-0.099417	-0.432293	0.099417	0.517116	0.348472	
157	0.822191	0.182871	0.094735	-0.936648	-0.357515	0.936648	-1.572257	0.565848	-0.411481	-0.565848	0.430027	0.340893	
158	0.776514	0.182000	0.088108	-1.257007	-0.066635	1.257007	-0.576258	1.164380	-0.517693	-1.164380	0.341369	0.330602	
159	0.664983	0.117197	0.085522	-0.658334	0.251180	0.658334	0.612662	1.858818	-0.439073	-1.858818	0.234342	0.321053	
160	0.596407	0.083755	0.087330	-0.214026	0.000000	0.214026	1.172911	2.605591	-0.409929	-2.605591	0.152666	0.321089	
161	0.659428	0.159272	0.096802	2.623311	0.414379	-2.623311	1.600739	3.228946	-0.613003	-3.228946	0.107901	0.339042	
162	0.810213	0.292408	0.113521	9.706917	0.626638	-9.706917	2.512497	3.450726	-0.894765	-3.450726	0.069293	0.375994	
163	1.008988	0.438936	0.132344	16.283840	0.000000	-16.283840	3.394441	3.061808	-1.095300	-3.061808	0.015512	0.427839	
164	1.301997	0.642562	0.147553	16.734902	1.028863	-16.734902	3.496432	2.198334	-1.217295	-2.198334	-0.065275	0.484577	
165	1.647169	0.891083	0.156637	12.243982	0.000000	-12.243982	2.917023	1.192830	-1.201336	-1.192830	-0.188659	0.525171	
166	1.801394	1.008392	0.162653	6.766019	0.000000	-6.766019	2.089568	0.230220	-0.914920	-0.230220	-0.343942	0.529295	
167	1.589272	0.841410	0.170805	2.364312	0.585550	-2.364312	1.250049	-0.546952	-0.426452	0.546952	-0.504003	0.499039	
168	1.189795	0.496809	0.181932	-0.128037	0.356050	0.128037	0.532782	-0.975725	0.010769	0.975725	-0.696435	0.461221	
169	0.926598	0.245499	0.193606	-0.761062	0.000000	0.761062	0.066746	-1.083103	0.212481	1.083103	-0.945731	0.439851	
170	0.837658	0.201713	0.206229	-0.554432	0.000000	0.554432	-0.068057	-0.965227	0.187110	0.965227	-1.071986	0.435085	
171	0.693063	0.202791	0.223465	-0.266187	-0.056273	0.266187	0.009665	-0.689173	0.093294	0.689173	-0.873987	0.439307	
172	0.458854	0.090848	0.246468	-0.097860	0.035910	0.097860	0.079042	-0.396949	0.045106	0.396949	-0.637754	0.459419	
173	0.444257	0.014266	0.272673	-0.073738	0.000000	0.073738	0.119546	-0.199326	0.024269	0.199326	-0.822961	0.500576	
174	0.791097	0.179942	0.298668	-0.206009	0.077465	0.206009	0.194714	-0.090154	0.037927	0.090154	-1.227611	0.543238	
175	1.192757	0.430338	0.322366	-0.813615	0.000000	0.813615	0.222596	-0.160118	0.130132	0.160118	-1.444918	0.573079	
176	1.408789	0.516608	0.340807	-2.159646	0.520186	2.159646	0.170353	-0.388192	0.221109	0.388192	-1.655148	0.600868	
177	1.522607	0.533067	0.348877	-3.814548	0.000000	3.814548	0.077819	-0.509281	0.295843	0.509281	-1.785697	0.635076	
178	1.468684	0.553626	0.348020	-5.494987	0.000000	5.494987	-0.091524	-0.783599	0.438026	0.783599	-1.328798	0.674412	
179	1.066769	0.379394	0.349795	-7.346617	0.000000	7.346617	-0.196377	-1.409132	0.402232	1.409132	-0.664312	0.720402	
180	0.594492	0.082009	0.362533	-8.611462	0.000000	8.611462	-0.120232	-1.772118	0.045550	1.772118	-0.560684	0.768885	
181	0.467198	0.011731	0.381324	-7.624411	0.483238	7.624411	-0.066130	-1.880864	-0.199985	1.880864	-0.831622	0.805143	
182	0.501578	0.103194	0.396991	-4.050545	0.000000	4.050545	0.046001	-2.158905	-0.258593	2.158905	-1.069519	0.819232	
183	0.306975	0.021182	0.411465	-0.364730	0.000000	0.364730	0.376368	-2.000352	-0.493900	2.000352	-1.283881	0.815985	
184	0.019220	-0.142808	0.426530	1.622792	-0.226599	-1.622792	0.547285	-0.969790	-0.686451	0.969790	-1.298396	0.806853	
185	-0.040161	-0.055769	0.432361	2.520856	-0.000000	-2.520856	0.354796	-0.223059	-0.426785	0.223059	-0.849899	0.792599	
186	0.113679	0.271117	0.427015	2.233260	-0.000000	-2.233260	0.068543	-0.581250	0.072851	0.581250	-0.240505	0.767091	
187	0.403917	0.565813	0.424793	0.689514	0.000000	-0.689514	-0.005622	-1.176811	0.277257	1.176811	-0.211298	0.736028	
188	0.888005	0.732968	0.428430	-0.874557	0.000000	0.874557	0.374164	-1.519839	0.048611	1.519839	-0.900349	0.716470	
189	1.331929	0.837759	0.420628	-1.654824	0.000000	1.654824	1.105664	-1.952187	-0.269320	1.952187	-1.496638	0.715256	
190	1.224184	0.739025	0.399164	-1.542233	0.000000	1.542233	1.636466	-2.011738	-0.393560	2.011738	-1.493500	0.726404	
191	0.702670	0.358394	0.383162	-0.849319	-0.529173	0.849319	1.604640	-1.427420	-0.389803	1.427420	-1.384866	0.760080	
