kww	// User ID
16-2-2021	// Evaluation date
kevin-pilot_16_77.1	16-2-2021	11:43:36:803	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.790705	// height
85.991959	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
149	-4.182668	-3.487046	0.214927	1.650943	-4.175385	-1.650943	-2.750622	3.473717	0.473108	-3.473717	2.264349	0.606235	
150	-4.171301	-3.485457	0.198829	1.949776	-4.116578	-1.949776	-2.943906	4.613807	0.198613	-4.613807	2.266986	0.624175	
151	-3.595736	-3.012344	0.178713	2.324512	-3.480037	-2.324512	-3.216029	5.134505	0.553530	-5.134505	2.068008	0.634301	
152	-2.482550	-2.068312	0.155762	3.329933	-2.299345	-3.329933	-3.700444	4.995540	1.621654	-4.995540	1.642740	0.640985	
153	-0.980633	-0.794296	0.133941	4.196836	-0.825719	-4.196836	-4.059266	3.721948	2.755516	-3.721948	0.944072	0.644868	
154	0.165499	0.167709	0.119580	3.535737	0.215260	-3.535737	-3.727849	1.945559	3.289611	-1.945559	0.318749	0.647185	
155	0.598341	0.534802	0.114130	1.874324	0.553632	-1.874324	-2.933112	0.606012	3.313195	-0.606012	0.007445	0.652960	
156	0.870790	0.783540	0.115234	1.142889	0.753059	-1.142889	-2.359547	-0.673365	3.242893	0.673365	-0.224657	0.662496	
157	1.187765	1.063309	0.121831	1.415238	1.030952	-1.415238	-2.065624	-1.922485	2.979960	1.922485	-0.487411	0.668811	
158	0.997559	0.903897	0.131259	1.201720	0.843298	-1.201720	-1.864800	-2.147122	2.351853	2.147122	-0.490012	0.668450	
159	0.538924	0.542378	0.138214	0.313110	0.413532	-0.313110	-2.186922	-1.922899	1.961888	1.922899	-0.324557	0.664809	
160	0.901648	0.907611	0.143866	-1.167365	0.763996	1.167365	-3.190157	-2.740048	2.401994	2.740048	-0.600559	0.658752	
161	1.931142	1.825966	0.158563	-3.428546	1.636465	3.428546	-3.771960	-3.917922	3.136434	3.917922	-1.306099	0.648132	
162	2.287358	2.147971	0.187311	-4.929781	1.785388	4.929781	-3.066466	-4.247202	3.406153	4.247202	-1.683690	0.637135	
163	1.852910	1.807639	0.221064	-4.902492	1.244398	4.902492	-1.770944	-4.337392	3.369587	4.337392	-1.563298	0.633071	
164	1.687606	1.697668	0.253375	-5.038240	1.024964	5.038240	-0.717285	-4.741229	3.364139	4.741229	-1.598139	0.633171	
165	1.674480	1.669942	0.285699	-6.756973	0.957328	6.756973	0.216998	-5.154848	3.147513	5.154848	-1.700844	0.627126	
166	0.670993	0.769426	0.311720	-9.941923	-0.058885	9.941923	1.121587	-4.266879	2.356318	4.266879	-0.931615	0.612452	
167	-1.164345	-0.802856	0.318096	-12.011764	-1.760614	12.011764	1.445241	-1.255473	1.201643	1.255473	0.648097	0.594771	
168	-2.464188	-1.886771	0.301940	-9.789953	-2.727948	9.789953	0.993175	2.059594	0.289379	-2.059594	1.848069	0.576101	
169	-2.888676	-2.242006	0.271932	-4.955267	-2.652030	4.955267	0.449432	3.800543	-0.173742	-3.800543	2.303357	0.554459	
170	-3.220684	-2.526530	0.233718	-1.121231	-2.405387	1.121231	0.267856	5.056148	-0.485625	-5.056148	2.629124	0.532368	
