kww	// User ID
12-2-2021	// Evaluation date
nate-pilot_21_62.7	12-2-2021	09:41:38:906	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.632822	// height
82.450500	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
123	-3.643011	-3.115576	159.346135	-3.456507	-0.850246	3.456507	1.369481	-2.161459	-2.802593	2.161459	0.603019	
124	-4.088386	-3.177107	156.471093	-4.022724	-1.105299	4.022724	5.924000	-4.801493	-5.418635	4.801493	2.927906	
125	-4.259583	-3.115158	154.490790	-3.379106	-1.314397	3.379106	10.199022	-6.582663	-6.774442	6.582663	4.285479	
126	-4.067293	-2.897476	152.875450	-2.408653	-1.413314	2.408653	11.934032	-7.085175	-6.742751	7.085175	4.539740	
127	-3.707855	-2.642462	151.944050	-2.212411	-1.397608	2.212411	11.035403	-6.938402	-5.990497	6.938402	4.127458	
128	-3.430639	-2.505901	152.021545	-2.646266	-1.319583	2.646266	9.308969	-6.504380	-5.033753	6.504380	3.381212	
129	-3.285761	-2.501859	153.181413	-3.091261	-1.207963	3.091261	7.658436	-5.372186	-4.042758	5.372186	2.472545	
130	-3.154413	-2.495533	155.684117	-3.578580	-1.031246	3.578580	5.689260	-3.624760	-3.218945	3.624760	1.705176	
131	-2.956597	-2.377626	159.688084	-4.255633	-0.862322	4.255633	4.005355	-2.462401	-2.800718	2.462401	1.357084	
132	-2.763373	-2.186689	164.626950	-4.524177	-0.919742	4.524177	4.244417	-2.655213	-2.859497	2.655213	1.437486	
133	-2.658749	-1.988451	169.576076	-3.863482	-1.335397	3.863482	6.765120	-3.572205	-3.382302	3.572205	1.902387	
134	-2.606541	-1.791272	174.087791	-3.096156	-1.926122	3.096156	9.924119	-4.555534	-4.164519	4.555534	2.601611	
135	-2.557959	-1.677353	177.976118	-3.217704	-2.293976	3.217704	11.811908	-5.506777	-4.525215	5.506777	2.923602	
136	-2.595244	-1.814188	180.653333	-3.683486	-2.244924	3.683486	11.987198	-6.145678	-3.920391	6.145678	2.303257	
137	-2.836169	-2.230875	181.537454	-3.949495	-1.869621	3.949495	10.835078	-5.884771	-2.810925	5.884771	1.090249	
138	-3.243290	-2.717865	180.711689	-4.493688	-1.246675	4.493688	8.383464	-4.391292	-2.220229	4.391292	0.310989	
139	-3.610781	-2.995676	178.513005	-5.207366	-0.589399	5.207366	5.406425	-2.276128	-2.604493	2.276128	0.580266	
140	-3.755474	-2.969283	174.977637	-5.306741	-0.291254	5.306741	3.593450	-0.756648	-3.433386	0.756648	1.465121	
141	-3.699090	-2.801599	170.129740	-4.511660	-0.328816	4.511660	3.014787	0.183443	-3.893485	-0.183443	2.106155	
142	-3.548140	-2.646429	164.340933	-3.196765	-0.262874	3.196765	2.063341	1.415100	-3.795024	-1.415100	2.230068	
143	-3.304858	-2.471543	157.985681	-2.095739	0.088913	2.095739	0.240523	2.813380	-3.400905	-2.813380	2.082046	
144	-3.023095	-2.315417	151.089057	-1.786098	0.533586	1.786098	-1.481780	3.570220	-2.783046	-3.570220	1.707189	
145	-2.872560	-2.342065	143.783853	-2.229320	0.889720	2.229320	-2.405789	3.346618	-1.925394	-3.346618	1.033921	
146	-2.850681	-2.501622	136.878583	-3.028129	1.105583	3.028129	-2.514373	2.070407	-1.081127	-2.070407	0.322753	
147	-2.767239	-2.540756	131.525027	-3.964430	1.107884	3.964430	-1.795532	-0.184804	-0.590613	0.184804	-0.043970	
148	-2.548891	-2.341573	128.476425	-4.742528	0.737880	4.742528	0.049883	-2.624010	-0.601306	2.624010	0.087697	
149	-2.321307	-2.017326	127.985840	-4.737116	-0.060208	4.737116	3.009892	-4.179810	-1.048782	4.179810	0.663664	
150	-2.301388	-1.802697	130.172340	-3.833526	-1.035084	3.833526	6.292687	-4.766714	-1.805432	4.766714	1.557165	
151	-2.688330	-1.912215	135.041035	-3.137158	-1.865000	3.137158	9.157277	-5.260788	-2.820016	5.260788	2.667437	
152	-3.409816	-2.322682	142.135009	-3.076694	-2.459986	3.076694	11.435164	-6.145477	-3.924131	6.145477	3.780151	
153	-4.007518	-2.720059	150.458932	-2.936285	-2.787057	2.936285	12.733229	-6.827298	-4.610831	6.827298	4.404474	
154	-4.072917	-2.818702	158.850870	-2.473535	-2.741252	2.473535	12.478963	-6.654160	-4.460724	6.654160	4.183338	
155	-3.674103	-2.624636	166.384982	-1.996250	-2.439516	1.996250	11.202694	-6.065086	-3.713014	6.065086	3.405639	
156	-3.175998	-2.327525	172.531653	-1.830785	-2.140099	1.830785	10.132042	-5.792682	-3.008847	5.792682	2.720584	
157	-2.840654	-2.096174	177.058599	-2.129639	-1.802892	2.129639	9.450563	-5.659836	-2.682798	5.659836	2.442922	
158	-2.688632	-1.982633	179.915424	-2.764874	-1.248556	2.764874	8.535886	-5.224124	-2.605072	5.224124	2.421750	
159	-2.596960	-1.928764	181.359134	-3.473500	-0.616748	3.473500	7.399722	-4.758494	-2.520905	4.758494	2.388065	
160	-2.463653	-1.855720	182.001659	-3.889506	-0.284086	3.889506	6.717948	-4.668871	-2.327486	4.668871	2.233449	
161	-2.314872	-1.766406	182.459495	-3.686524	-0.397755	3.686524	6.870958	-4.810170	-2.098442	4.810170	2.036760	
162	-2.315921	-1.791930	183.158652	-3.109386	-0.721061	3.109386	7.500321	-4.862379	-1.962405	4.862379	1.931003	
163	-2.707387	-2.114317	184.774250	-2.523255	-0.976471	2.523255	7.947371	-4.555082	-2.143182	4.555082	2.184504	
164	-3.627326	-2.796623	188.656297	-1.891697	-1.098922	1.891697	7.942154	-3.810007	-2.910325	3.810007	3.206081	
165	-4.854623	-3.668168	196.365505	-1.265000	-1.089388	1.265000	7.656196	-2.949689	-4.082338	2.949689	4.893475	
166	-5.761175	-4.325776	208.351571	-0.837341	-0.914895	0.837341	7.159206	-2.272503	-4.884974	2.272503	6.313480	
167	-5.712737	-4.335376	222.811924	-0.630728	-0.632613	0.630728	6.321886	-1.811406	-4.682508	1.811406	6.491670	
168	-4.610823	-3.608054	235.953421	-0.624501	-0.372485	0.624501	5.269859	-1.753237	-3.487938	1.753237	5.149857	
169	-3.026849	-2.558221	243.567899	-0.775796	-0.176272	0.775796	4.465142	-2.300349	-1.804779	2.300349	2.834811	
170	-1.812089	-1.796174	242.970711	-1.149089	0.004955	1.149089	4.253500	-3.192858	-0.403604	3.192858	0.756683	
171	-1.423479	-1.609258	234.227947	-2.132826	0.234909	2.132826	4.343455	-3.849398	0.165156	3.849398	-0.064277	
172	-1.545029	-1.743401	219.410858	-3.895689	0.540448	3.895689	4.070603	-4.116798	0.115380	4.116798	0.150520	
173	-1.564638	-1.779149	200.596424	-5.629893	0.824749	5.629893	3.499588	-4.418981	0.070945	4.418981	0.331864	
174	-1.332684	-1.637218	179.190870	-6.349100	0.888804	6.349100	3.513625	-5.062907	0.234349	5.062907	0.049123	
175	-1.185852	-1.542723	156.926144	-5.949838	0.620872	5.949838	4.499684	-5.860060	0.267750	5.860060	-0.056602	
176	-1.398288	-1.648948	136.286016	-4.625294	0.078725	4.625294	5.925358	-6.384018	-0.136702	6.384018	0.664204	
177	-1.872719	-1.888787	119.462907	-2.603223	-0.529982	2.603223	7.139996	-6.321324	-0.864734	6.321324	1.933011	
178	-2.282752	-2.073630	107.415098	-0.840243	-0.918920	0.840243	7.755212	-5.641947	-1.541493	5.641947	2.916674	
179	-2.372864	-2.055590	100.155136	-0.118379	-0.972449	0.118379	7.638911	-4.592668	-1.882688	4.592668	3.104646	
180	-2.176241	-1.886239	97.306458	-0.049210	-0.872671	0.049210	7.214740	-3.563708	-1.864896	3.563708	2.599341	
181	-1.976054	-1.795279	98.109565	0.065600	-0.837895	-0.065600	7.294419	-2.813509	-1.727096	2.813509	1.864042	
182	-1.995134	-1.922900	101.414465	0.250380	-0.862476	-0.250380	8.211692	-2.471383	-1.763514	2.471383	1.305388	
