kww	// User ID
11-2-2021	// Evaluation date
kyle-pilot2_02_31.9	10-2-2021	15:01:14:883	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.852879	// height
83.778452	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
187	-2.143995	-1.674075	64.381401	1.731140	-1.084101	-1.731140	1.290568	0.307673	-0.780062	-0.307673	1.627474	
188	-2.019502	-1.508445	61.707291	1.580710	-0.886294	-1.580710	1.201908	0.289691	-0.866973	-0.289691	1.601000	
189	-1.909535	-1.352674	59.398509	1.328073	-0.687503	-1.328073	1.119535	0.257199	-0.950746	-0.257199	1.552308	
190	-1.830020	-1.274852	57.472419	1.010210	-0.616193	-1.010210	0.996427	0.236989	-0.976370	-0.236989	1.466571	
191	-1.792724	-1.289339	55.839868	0.692220	-0.679953	-0.692220	0.866996	0.237370	-0.962391	-0.237370	1.387702	
192	-1.833264	-1.389602	54.352510	0.485701	-0.791177	-0.485701	0.837034	0.265172	-0.982234	-0.265172	1.379992	
193	-1.923472	-1.513547	52.908261	0.451712	-0.856205	-0.451712	0.922050	0.319231	-1.071944	-0.319231	1.430238	
194	-1.980221	-1.593140	51.520969	0.549581	-0.876086	-0.549581	1.016291	0.401858	-1.187936	-0.401858	1.468909	
195	-2.036695	-1.702479	50.176793	0.759916	-0.969718	-0.759916	1.080695	0.577688	-1.320601	-0.577688	1.520854	
196	-2.230948	-1.961027	48.732867	1.139617	-1.183200	-1.139617	1.207644	0.924641	-1.581106	-0.924641	1.695270	
197	-2.553665	-2.290949	47.091861	1.656363	-1.373112	-1.656363	1.397580	1.384182	-2.005452	-1.384182	1.962310	
198	-2.777188	-2.465326	45.337902	2.082753	-1.404678	-2.082753	1.463989	1.739290	-2.381801	-1.739290	2.122150	
199	-2.781958	-2.432812	43.620766	2.185160	-1.328177	-2.185160	1.338221	1.841193	-2.537398	-1.841193	2.098312	
200	-2.739537	-2.377134	41.951138	2.022985	-1.220673	-2.022985	1.199399	1.830019	-2.605695	-1.830019	2.042436	
201	-2.703811	-2.304677	40.275049	1.896372	-0.981963	-1.896372	1.057893	1.866272	-2.621625	-1.866272	1.982856	
202	-2.376159	-1.913801	38.885782	1.958587	-0.519788	-1.958587	0.671763	1.782562	-2.242617	-1.782562	1.682466	
203	-1.693983	-1.183089	38.375594	2.087642	-0.039808	-2.087642	0.138274	1.444424	-1.417284	-1.444424	1.110195	
204	-1.139624	-0.590525	38.909622	2.143019	0.198498	-2.143019	-0.148552	1.129555	-0.695661	-1.129555	0.625264	
