"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","max_elb_var","max_shldr_ir"
"286","p08",23,208.4,72,"R",77.6,35.2,8,46.4,18.624775,25.513012
"287","p08",23,208.4,72,"R",77.6,35.2,9,46.6,18.761246,25.387837
"288","p08",23,208.4,72,"R",77.6,35.2,10,47.4,19.526028,27.69436
"289","p08",23,208.4,72,"R",77.6,35.2,11,48.4,20.198309,29.989066
"290","p08",23,208.4,72,"R",77.6,35.2,12,51.8,24.05089,31.673011
"291","p08",23,208.4,72,"R",77.6,35.2,13,53.1,24.075847,32.034279
"292","p08",23,208.4,72,"R",77.6,35.2,14,57.4,29.113687,36.461724
"293","p08",23,208.4,72,"R",77.6,35.2,15,60,33.088806,40.806246
"294","p08",23,208.4,72,"R",77.6,35.2,16,64.6,38.330586,48.153599
"295","p08",23,208.4,72,"R",77.6,35.2,17,65.3,39.782104,47.953805
"296","p08",23,208.4,72,"R",77.6,35.2,18,64.3,35.356563,45.819048
"297","p08",23,208.4,72,"R",77.6,35.2,19,62.6,34.896339,43.464047
"298","p08",23,208.4,72,"R",77.6,35.2,20,65.1,38.44964,47.773178
"299","p08",23,208.4,72,"R",77.6,35.2,21,66.9,39.43647,48.993987
"300","p08",23,208.4,72,"R",77.6,35.2,22,69.4,47.670951,54.731642
"301","p08",23,208.4,72,"R",77.6,35.2,23,69.9,45.948727,55.140947
"302","p08",23,208.4,72,"R",77.6,35.2,24,73.6,49.277452,57.930675
"303","p08",23,208.4,72,"R",77.6,35.2,25,73.2,46.563619,57.424588
"304","p08",23,208.4,72,"R",77.6,35.2,26,75.1,50.17906,58.967359
"305","p08",23,208.4,72,"R",77.6,35.2,27,75.8,52.579385,62.308067
"306","p08",23,208.4,72,"R",77.6,35.2,28,72.4,48.821676,57.572884
"307","p08",23,208.4,72,"R",77.6,35.2,29,77.2,51.995016,60.067396
"308","p08",23,208.4,72,"R",77.6,35.2,30,77.6,54.612231,64.038677
"309","p08",23,208.4,72,"R",77.6,35.2,31,76.5,52.338237,61.871468
"310","p08",23,208.4,72,"R",77.6,35.2,32,76.4,51.94273,62.475826
"311","p08",23,208.4,72,"R",77.6,35.2,33,76.9,54.202288,62.913951
"312","p09",22,182,68,"R",72.4,38.7,1,38.7,19.096345,23.272316
"313","p09",22,182,68,"R",72.4,38.7,2,41.7,17.686727,21.475767
"314","p09",22,182,68,"R",72.4,38.7,3,42.4,18.236469,23.59848
"315","p09",22,182,68,"R",72.4,38.7,4,43.4,19.168434,23.566505
"316","p09",22,182,68,"R",72.4,38.7,5,44.6,21.921494,27.110531
"317","p09",22,182,68,"R",72.4,38.7,6,47.3,23.484352,27.148843
"318","p09",22,182,68,"R",72.4,38.7,7,49.9,24.629595,28.819212
"319","p09",22,182,68,"R",72.4,38.7,8,51.6,24.846179,30.210449
"320","p09",22,182,68,"R",72.4,38.7,9,52.6,27.928926,33.094605
"321","p09",22,182,68,"R",72.4,38.7,10,51.9,27.543535,31.649429
"322","p09",22,182,68,"R",72.4,38.7,11,51.8,27.015018,33.019493
"323","p09",22,182,68,"R",72.4,38.7,12,52.6,27.917828,33.134474
"324","p09",22,182,68,"R",72.4,38.7,13,63.8,39.56246,46.186208
"325","p09",22,182,68,"R",72.4,38.7,14,59.8,35.879273,39.93016
"326","p09",22,182,68,"R",72.4,38.7,15,64.1,38.50593,43.970273
"327","p09",22,182,68,"R",72.4,38.7,16,61.3,36.081834,40.346706
"328","p09",22,182,68,"R",72.4,38.7,17,60.8,35.585123,42.111101
"329","p09",22,182,68,"R",72.4,38.7,18,61.6,37.282756,42.373049
"330","p09",22,182,68,"R",72.4,38.7,19,63,37.899003,42.364523
"331","p09",22,182,68,"R",72.4,38.7,20,61.1,34.429124,39.312219
"332","p09",22,182,68,"R",72.4,38.7,21,60.8,35.707389,39.403006
"333","p09",22,182,68,"R",72.4,38.7,22,63.6,41.106898,45.488646
"334","p09",22,182,68,"R",72.4,38.7,23,60.5,36.137353,41.439836
"335","p09",22,182,68,"R",72.4,38.7,24,59.5,36.128866,39.95619
"336","p09",22,182,68,"R",72.4,38.7,25,58.8,31.289252,37.308585
"337","p09",22,182,68,"R",72.4,38.7,26,62.5,47.25711,45.062383
"338","p09",22,182,68,"R",72.4,38.7,27,69.6,51.417644,54.902818
"339","p09",22,182,68,"R",72.4,38.7,28,72.4,51.762386,54.99015
"340","p09",22,182,68,"R",72.4,38.7,29,69.3,49.731761,54.40333
"341","p09",22,182,68,"R",72.4,38.7,30,67.5,46.062353,50.136574
"342","p09",22,182,68,"R",72.4,38.7,31,66.5,46.537504,50.356715
