kww	// User ID
5-7-2021	// Evaluation date
p12_warmup_011_531	5-7-2021	11:09:44:203	// Source file name and timestamp
238.095	// Sampling rate
0.842	// Data capture period

1.750000	// height
83.200000	// mass


Sample #	var_mom	ir_mom	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldrIR	
126	19.420302	28.755855	-848.307118	-610.132633	848.307118	452.809612	-1572.974464	417.242982	1572.974464	-429.789021	2.092171	6.683269	92.169599	-96.458429	
127	19.569472	30.080236	-827.284420	-615.914630	827.284420	481.637863	-1627.087885	402.346444	1627.087885	-407.967594	1.894940	7.214426	95.769606	-87.798753	
128	19.488896	31.133608	-792.169779	-616.817225	792.169779	517.881769	-1666.047926	372.648235	1666.047926	-370.982862	1.697281	7.776346	99.105506	-79.876223	
129	19.175662	31.850207	-741.656979	-611.462251	741.656979	562.997108	-1685.723854	327.579837	1685.723854	-319.410215	1.500827	8.364688	102.109104	-72.696033	
130	18.620792	32.158451	-676.318689	-598.424081	676.318689	614.367926	-1681.321843	268.036721	1681.321843	-255.109978	1.307679	8.974192	104.709637	-66.222834	
131	17.862792	32.008601	-598.794361	-575.750535	598.794361	663.353655	-1648.204958	197.322267	1648.204958	-181.954207	1.120623	9.598402	106.838594	-60.437342	
132	17.000216	31.386363	-508.444170	-540.317301	508.444170	695.793558	-1583.100781	121.072499	1583.100781	-106.072354	0.943305	10.229413	108.435007	-55.361967	
133	16.202125	30.319171	-403.783033	-489.548870	403.783033	698.251585	-1486.252240	46.690195	1486.252240	-36.078313	0.779918	10.857744	109.448256	-51.057984	
134	15.707400	28.885318	-284.680238	-422.580702	284.680238	663.465585	-1362.020840	-17.943289	1362.020840	17.240073	0.635004	11.471767	109.838729	-47.611318	
135	15.750179	27.191066	-148.352895	-339.462595	148.352895	591.115207	-1215.821119	-66.913475	1215.821119	42.787860	0.514017	12.056550	109.576805	-45.119347	
136	16.427819	25.307713	6.379386	-242.625397	-6.379386	489.928927	-1052.888510	-98.547021	1052.888510	32.466082	0.424039	12.593800	108.639146	-43.680148	
137	17.610391	23.266373	172.040849	-138.895762	-172.040849	377.886811	-881.314855	-115.986462	881.314855	-15.059208	0.372027	13.064390	107.003811	-43.388191	
138	18.991383	21.125944	333.503208	-37.961324	-333.503208	275.105440	-711.358046	-125.348740	711.358046	-93.152326	0.358008	13.451939	104.646794	-44.335047	
139	20.195742	19.004217	471.686652	50.974933	-471.686652	194.966543	-549.412183	-132.811106	549.412183	-188.951499	0.370842	13.744432	101.539462	-46.606513	
140	20.857858	17.060552	566.790844	121.754092	-566.790844	139.468824	-392.955455	-142.458776	392.955455	-285.830576	0.395829	13.932722	97.645367	-50.270644	
141	20.734645	15.468316	607.600208	173.421002	-607.600208	100.118098	-229.753829	-155.291371	229.753829	-367.452037	0.422994	14.005566	92.916188	-55.354923	
142	19.826985	14.394699	599.065352	209.272148	-599.065352	69.059733	-45.368907	-170.694456	45.368907	-421.565944	0.448086	13.943313	87.287417	-61.813843	
143	18.418641	13.977328	555.795771	231.104634	-555.795771	57.747194	161.295630	-190.452407	-161.295630	-440.417131	0.471435	13.717370	80.674761	-69.504722	
